mission,N_laps,position,velocity,acceleration,time,throttle,thrust,loadfactor,AOA,climb_pitch_angle,bank_angle,phase,battery_SoC,battery_voltage,Amps,motor_input_power
0,4,[12.32161    53.54465721 76.41937156],[21.9690799  11.93145123  0.        ],[-11.87260353  21.8607251    0.        ],130.59999999999687,0.705246416149968,2.4050427626844826,2.7259015443922077,8.0,,68.47845250618875,27,56.81675755702468,22.782,30.082223674633997,0
0,4,[14.45558025 54.84504776 76.41937156],[20.67510306 14.05489642  0.        ],[-13.98557556  20.57313035   0.        ],130.69999999999686,0.705246416149968,2.4050427626844826,2.7259015443922077,8.0,,68.47845250618875,27,56.77864537708054,22.782,30.082223674633997,0
0,4,[16.4498101  56.35099992 76.41937156],[19.17657849 16.03929043  0.        ],[-15.96018225  19.08199672   0.        ],130.79999999999686,0.705246416149968,2.4050427626844826,2.7259015443922077,8.0,,68.47845250618875,27,56.7405331971364,22.77591573077811,30.082223674633997,0
0,4,[18.28456978 58.04761465 76.41937156],[17.48833172 17.8650008   0.        ],[-17.77688794  17.40207664   0.        ],130.89999999999685,0.7054348129246291,2.4050427626844826,2.7259015443922077,8.0,,68.47845250618875,27,56.70243119561221,22.77,30.082223674633997,0
0,4,[19.94170722 59.9181066  76.41937156],[15.62706531 19.51396499  0.        ],[-19.41771919  15.54999028   0.        ],130.99999999999685,0.705618087515528,2.4050427626844826,2.7259015443922077,8.0,,68.47845250618875,27,56.66433909055875,22.77,30.082223674633997,0
0,4,[21.40482764 61.94397019 76.41937156],[13.61119359 20.96986908  0.        ],[-20.86644254  13.54406114   0.        ],131.09999999999684,0.705618087515528,2.4050427626844826,2.7259015443922077,8.0,,68.47845250618875,27,56.62624698550528,22.77,30.082223674633997,0
0,4,[22.65945574 64.10516266 76.41937156],[11.46066044 22.21830917  0.        ],[-22.10872514  11.40413474   0.        ],131.19999999999683,0.705618087515528,2.4050427626844826,2.7259015443922077,8.0,,68.47845250618875,27,56.58815488045181,22.764866723367717,30.082223674633997,0
0,4,[23.69317897 66.38030242 76.41937156],[ 9.19674201 23.24693391  0.        ],[-23.13227655   9.1513823    0.        ],131.29999999999683,0.7057771981698522,2.4050427626844826,2.7259015443922077,8.0,,68.47845250618875,27,56.550071362895615,22.764,30.082223674633997,0
0,4,[24.49577023 68.74688052 76.41937156],[ 6.84183623 24.04556668  0.        ],[-23.92697034   6.80809127   0.        ],131.39999999999682,0.7058040701427065,2.4050427626844826,2.7259015443922077,8.0,,68.47845250618875,27,56.51198929528749,22.764,30.082223674633997,0
0,4,[25.05928916 71.18148337 76.41937156],[ 4.41924121 24.60630625  0.        ],[-24.48494425   4.39744485   0.        ],131.49999999999682,0.7058040701427065,2.4050427626844826,2.7259015443922077,8.0,,68.47845250618875,27,56.47390722767936,22.764,30.082223674633997,0
